true,pred,norm_entropy,agreement,pred_std,is_uncertain
1,1,0.34170580498280995,1.0,0.09591744095087051,False
1,1,0.11911888914067209,1.0,0.0297637190669775,False
1,1,0.0064701392359326855,1.0,0.0008910676115192473,False
1,1,0.0001727878178293922,1.0,2.8734879379044287e-05,False
1,1,0.001506188163674305,1.0,0.00015533386613242328,False
2,2,0.10063422488688954,1.0,0.04331112653017044,False
4,4,0.5157994691429604,0.6666666666666666,0.1345899999141693,True
4,4,0.4136614899191201,0.5,0.1461077630519867,True
4,4,0.29887712448788833,1.0,0.08859588950872421,False
1,1,0.15841385568284458,1.0,0.03329087048768997,False
0,1,0.1633729093084865,1.0,0.051915813237428665,False
6,6,0.08294808074286909,1.0,0.03340872377157211,False
1,1,0.025130908160728146,1.0,0.0048616849817335606,False
0,1,0.12075810021517354,1.0,0.02043701894581318,False
1,1,0.0005301951704916005,1.0,2.7742124075302854e-05,False
2,2,0.5609478759419568,0.8333333333333334,0.10875416547060013,True
0,0,0.08337894788035746,1.0,0.03388829901814461,False
1,1,0.15745390397806253,1.0,0.06534257531166077,False
0,0,0.20328261924921748,1.0,0.07686290144920349,False
4,4,0.4302468346126538,0.8333333333333334,0.2075221687555313,True
0,0,0.45512606156671603,1.0,0.08795040100812912,False
1,1,0.1261542007277076,1.0,0.04499984532594681,False
1,1,0.04228424227514395,1.0,0.007524588145315647,False
1,1,0.003308329704803137,1.0,0.00044681347208097577,False
4,4,0.04258864662263389,1.0,0.009096622467041016,False
1,1,0.002333755177566487,1.0,0.0003460533625911921,False
1,1,0.07401241580850966,1.0,0.013540645129978657,False
1,1,0.2998097076370705,0.8333333333333334,0.13635419309139252,True
1,1,4.6836118281283805e-05,1.0,6.3051461438590195e-06,False
3,3,0.05769443525445347,1.0,0.018036942929029465,False
1,1,0.10913243707720886,1.0,0.031963229179382324,False
1,1,0.31348124305410635,1.0,0.08695655316114426,False
2,2,0.3374933447250379,0.8333333333333334,0.21382014453411102,True
1,1,0.2039860232903992,1.0,0.08157696574926376,False
1,1,0.052491323644613404,1.0,0.007745873648673296,False
4,4,0.07189051806217613,1.0,0.025226619094610214,False
3,2,0.4454777497689563,0.6666666666666666,0.17075662314891815,True
1,1,0.2322096662972584,1.0,0.06875699758529663,False
1,1,0.3093626047166504,0.6666666666666666,0.24527867138385773,True
1,1,0.0013086729726400628,1.0,0.0001904164964798838,False
0,1,0.4680522901064642,1.0,0.12891390919685364,True
4,4,0.4312930883939917,0.3333333333333333,0.21733161807060242,True
1,1,0.04280349820754328,1.0,0.008357223123311996,False
1,1,0.00807858940169189,1.0,0.0012682350352406502,False
1,1,0.21215418172724598,1.0,0.04932812601327896,False
1,1,0.012139767364773667,1.0,0.001874406123533845,False
1,1,0.20489276942038886,1.0,0.03974224627017975,False
1,1,0.04478069639410749,1.0,0.004222394432872534,False
1,1,0.015224675102652747,1.0,0.0014747156528756022,False
4,4,0.4488217369915592,0.6666666666666666,0.25937172770500183,True
1,1,0.0047490981711849,1.0,0.0010588164441287518,False
1,1,0.1033709808970121,1.0,0.017790431156754494,False
1,1,0.037892806672805396,1.0,0.008563426323235035,False
1,1,0.2745145460254918,1.0,0.06417569518089294,False
1,1,0.023170920614541866,1.0,0.002332428004592657,False
0,0,0.3608999687926756,0.8333333333333334,0.175852432847023,True
1,1,0.12624714967227155,1.0,0.02496149018406868,False
0,0,0.5337780525062881,0.6666666666666666,0.3069559633731842,True
4,4,0.46562030218372835,0.8333333333333334,0.1619243621826172,True
0,0,0.10898744652552214,1.0,0.020699646323919296,False
1,1,0.005832166258915261,1.0,0.0007501635700464249,False
1,1,0.002525211108037748,1.0,0.00044178872485645115,False
1,1,0.011486776716071621,1.0,0.001321912626735866,False
1,1,0.10961932781647922,1.0,0.01860916242003441,False
1,1,0.07977032648192334,1.0,0.013658834621310234,False
1,1,0.0026164435353125894,1.0,0.0003174533776473254,False
1,1,0.01856578782286099,1.0,0.0041164830327034,False
1,1,0.007539093258458781,1.0,0.0009025197359733284,False
1,1,0.021173130920980415,1.0,0.0050752670504152775,False
2,2,0.5835455731099444,0.8333333333333334,0.10119479894638062,True
0,1,0.5260749144688143,0.5,0.1483030468225479,True
0,0,0.3335842818295679,1.0,0.08655554801225662,False
0,0,0.3189203414512776,1.0,0.1144849956035614,True
0,1,0.5694122488353551,0.6666666666666666,0.20402905344963074,True
1,1,0.2191907951202278,1.0,0.12768124043941498,True
3,3,0.2505614085062444,1.0,0.07299855351448059,False
2,2,0.17274075084396262,1.0,0.05593543499708176,False
1,1,0.00039995738255154035,1.0,9.354019130114466e-05,False
2,2,0.22040003500603916,1.0,0.0643148347735405,False
1,1,0.03453801063200746,1.0,0.005701432470232248,False
1,1,0.09243645419360606,1.0,0.02136853151023388,False
1,1,0.010875142336420123,1.0,0.0023505762219429016,False
1,1,0.2882584312224123,1.0,0.11712906509637833,True
1,1,0.06236507760153954,1.0,0.005634694825857878,False
1,1,0.38835000212943876,0.6666666666666666,0.2287706881761551,True
0,0,0.38575187313723025,0.6666666666666666,0.17435598373413086,True
1,1,0.07848718230677379,1.0,0.0186055488884449,False
